periode,director,count,rank,rank2,rang
1960,Stanley Kubrick,4,3.0,C,1
1960,Sergio Leone,4,2.0,2,2
1960,Akira Kurosawa,3,1.0,A,3
1970,Sidney Lumet,4,3.0,C,1
1970,Francis Ford Coppola,4,2.0,2,2
1970,Andrei Tarkovsky,3,1.0,A,3
1980,John Carpenter,8,3.0,C,1
1980,John Landis,6,2.0,2,2
1980,John Hughes,6,1.0,A,3
1990,Joel Schumacher,7,3.0,C,1
1990,Tony Scott,6,2.0,2,2
1990,Steven Spielberg,6,1.0,A,3
2000,Steven Soderbergh,8,3.0,C,1
2000,Ridley Scott,8,2.0,2,2
2000,Steven Spielberg,7,1.0,A,3
2010,Steven Soderbergh,8,3.0,C,1
2010,Steven Spielberg,7,2.0,2,2
2010,Ridley Scott,7,1.0,A,3
2020,Leigh Janiak,3,3.0,C,1
2020,Zack Snyder,2,2.0,2,2
2020,Aaron Schneider,1,1.0,A,3
